"Original Source"	"Original Code"	"English Title"	"Chinese Title"	"Japanese Title"	"Korean Title"	"English Definition"	"Chinese Definition"	"Japanese Definition"	"Korean Definition"
"IST WPRO"	"2.1.72"	"contracted tongue"	"短縮舌"			"a tongue that cannot be fully extended from the mouth and appears to be contracted "			
"IST WPRO"	"2.3.92"	"contracture"	"拘急"			"abnormal tension of sinews that manifests in inhibited bending and stretching of the limb"			
"IST WPRO"	"2.3.167"	"contracture below the umbilicus"	"臍下拘急"			"muscular contracture in the region below the umbilicus"			
"IST WPRO"	"2.3.94"	"contracture of the limbs"	"四肢拘急"			"muscular contracture of the limbs with difficulty in bending and stretching, the same as acrocontracture"			
"IST WPRO"	"2.3.93"	"contracture of the nape and neck"	"項背拘急"			"muscular spasm and rigidity of the nape and back"			
"IST WPRO"	"2.1.30"	"convulsions"	"抽搐; 瘛瘲"			"sudden, violent uncontrollable movements of the body caused by contraction of muscles"			
"GB97"	"22.18"	"Cough"	"咳嗽"			"It refers to the symptom characterized by cough from the throat. It is usually caused by invasion of six exogenous pathogenic factors into the lung, irritation of poisonous air, retention of phlegm fluid in the lung, failure of the lung qi in dispersing and descending due to deficiency of qi and yin, resulting in counterflow of lung qi. Apart from lung cough, it also can be seen in the diseases of lung system, or diseases of other organs involving the lung."	"从肺经喉发出“咳、咳”有声的症状。多因六淫外邪袭肺、有害气体刺激、痰饮停肺、气阴亏虚等而致肺失清肃宣降，肺气上逆所致。除肺咳以咳嗽为主症外，几乎所有肺系疾病均可见到咳嗽，它脏疾病亦可影响到肺而伴见咳嗽。"		
"IST WPRO"	"2.1.56"	"crimson tongue"	"絳舌"			"a tongue deep red in color, indicating intense heat"			
"IST WPRO"	"2.1.97"	"curdy fur"	"腐苔"			"a tongue coating consisting of coarse granules like bean dregs, easy to wipe off"			
"IST WPRO"	"2.1.101"	"curled tongue"	"舌卷"			"a tongue formed into a curved shape and drawn back, inhibiting speech"			
"IST WPRO"	"2.1.102"	"curled tongue and retracted testicles"	"舌卷囊縮"			"the forming of the tongue into a curl and the withdrawing of the testicles into the body, seen in critical cases"			
"IST WPRO"	"2.1.16"	"darkish complexion"	"面黑"			"dark discoloration of the face, often occurring in kidney deficiency, cold pattern/syndrome, water retention or blood stasis"			
"IST WPRO and GB 97"	"2.3.112 AND 22.13"	"deafness"	"耳聾"			"loss, complete or partial, of the sense of hearing"	"双耳或单耳不闻声音，或客观检查示听力严重障碍的症状"		
"IST WPRO"	"2.1.9"	"delirium"	"譫妄"			"a mental disturbance characterized by confusion, disordered speech and hallucinations"			
"IST WPRO"	"2.1.71"	"deviated tongue"	"歪斜舌"			"a tongue that inclines to one side when extended"			
"IST WPRO and GB 97"	"2.3.169 and 22.35"	"diarrhea"	"泄[腹]泻"			"abnormally frequent intestinal evacuations with soft or fluid stool"	"血自肛门排出，包括血随便出"		
"IST WPRO"	"2.3.137"	"dietary predilection"	"嗜偏食"			"a liking for particular flavors or specific foods"			
"IST WPRO"	"2.3.196"	"difficult painful urination"	"小便澁痛"			"uneasy and painful voiding of urine "			
"IST WPRO"	"2.3.192"	"difficult urination"	"小便難; 癃閉"			"difficulty in urination or anuria"			
"IST WPRO"	"2.3.128"	"discomfort in the throat"	"咽喉不利"			"a mild sensation of blockage in the throat that hampers swallowing"			
"IST WPRO"	"2.1.32"	"distal bleeding"	"遠血"			"bleeding far from the anus, generally referring to bleeding from upper digestive tract"			
"IST WPRO"	"2.3.73"	"distending pain"	"脹痛"			"pain accompanied by a distending sensation"			
"IST WPRO"	"2.3.147"	"distress below the heart"	"心下急"			"a feeling of distress associated with slight pain and fullness in the epigastric region, the same as epigastric distress "			
"IST WPRO"	"2.3.108"	"dizzy vision"	"目眩"			"blurred vision accompanied by vertigo"			
"IST WPRO"	"2.3.110"	"double vision"	"視岐"			"seeing one object as two"			
"IST WPRO"	"2.3.203"	"dreaming of intercourse"	"夢交"			"dreaming of performing coitus"			
"IST WPRO"	"2.3.198"	"dribbling urination"	"小便淋漓"			"dribbling discharge of urine with inability to achieve a full stream"			
"IST WPRO"	"2.1.93"	"dry and cracked fur"	"燥裂苔"			"a tongue coating that lacks moisture and develops cracks"			
"IST WPRO"	"2.1.92"	"dry fur"	"燥苔"			"a tongue coating that looks dry and feels dry to the touch"			
"IST WPRO"	"2.3.115"	"dry mouth"	"口乾"			"lack of fluid in the mouth"			
"IST WPRO"	"2.3.135"	"dry retching"	"乾嘔"			"a noisy involuntary effort to vomit, but without bringing anything up from the stomach"			
"IST WPRO"	"2.3.189"	"dry stool"	"大便乾燥; 燥屎"			"feces lacking moisture content, difficult to evacuate"			
"IST WPRO"	"2.1.75"	"dry tongue"	"舌乾"			"a tongue lacking moisture and rough to the touch"			
"IST WPRO"	"2.3.80"	"dull pain"	"隱痛"			"a pain often continuous but not stabbing in nature"			
"GB97"	"22.26"	"Dysphagia"	"噎膈"			"It refers to difficulty in swallowing with food stuck in the throat. It can be caused by qi stagnation, fire depression, phlegm stagnation and fluid exhaustion. It is the commonly encountered symptom of esophagopathy and also can be seen in diseases involving the stomach, chest, diaphragm, heart, oral cavity and throat as well as impediment, flaccidity, paralysis and stroke."	"吞咽不顺，饮食梗塞难下的症状。气结、火郁、痰凝、血瘀、津枯等为噎膈常见病机。噎膈为食管病变的常见症状，胃与胸膈、心脏、口腔咽喉的某些病变，以及痹、痿、瘫、风类疾病，亦可导致噎膈。"		
"IST WPRO"	"2.3.62"	"ear pain"	"耳痛"			"pain in the ear"			
"JSOM"		"ebyo"		"壊病"		"atypical symptoms resulting from mistreatment"			
"GB97"	"22.43"	"Edema"	"水肿"			"It refers to dropsy of the eyelids, head, face, abdomen, back and even the whole body. It can be divided into yang edema and yin edema according to its onset, duration and nature. It can be caused by the invasion of exogenous pathogenic factors, or interior injury due to overstrain, or improper diet, which lead to the dysfunction of qi in transformation and retention of water beneath the skin. It can be seen in wind edema, skin edema, stony edema, general edema, kidney edema, fluid retention, spleen edema, heart failure, menstrual edema, edema during pregnancy. All of the diseases with the manifestation of edema pertain to the category of edema disease."	"眼睑、头面、四肢、腹背或全身浮肿的症状。一般按病之新久缓急和邪正虚实而有阳水、阴水之分。外邪侵袭，或劳倦内伤，或饮食失调，使气化不利而水液潴留，泛滥肌肤则发为水肿。其常见疾病有风水、皮水、石水、正水、肾水、溢饮、脾水、心衰、经行浮肿、子肿等。凡以水肿为主要表现的疾病，可以归纳为水肿病类。"		
"IST WPRO"	"2.3.178"	"efflux diarrhea"	"滑泄"			"diarrhea with fecal incontinence"			
"IST WPRO"	"2.3.81"	"empty pain"	"空痛"			"a pain accompanied by feeling of emptiness"			
"IST WPRO"	"2.1.29"	"encrusted skin"	"肌膚甲錯"			"dried, roughened and scaling skin, indicating chronic blood stasis"			
"IST WPRO"	"2.1.57"	"enlarged tongue"	"胖大舌"			"a tongue that is larger than normal, pale in color and delicate, usually bearing dental indentations on the margin"			
"IST WPRO"	"2.3.200"	"enuresis"	"遺尿"			"involuntary discharge of urine during sleep"			
"GB97"	"22.27"	"Epigastralgia"	"胃脘痛"			"It refers to pain in the upper abdomen (beneath the xiphoid process). It is usually caused by invasion of cold heat and improper diet; insufficiency of yin, yang, qi and blood; qi stagnation and blood stasis that lead to failure of stomach qi to descend normally. It is the commonly encountered symptom of stomach disease and also can be seen in diseases of bowels, pancreas, gallbladder, liver and spleen. Sometimes it is even seen in precordial pain."	"自觉剑突下的上腹部位疼痛的症状。多因寒热侵扰，饮食失调，阴阳气血不足，气滞血瘀等使胃失和降所致。胃脘痛是胃部病变的常见症状，肠、胰、胆、肝、脾的病变亦常表现为胃脘部位的疼痛，甚至厥心痛等病有时亦可表现为胃脘痛。"		
"GB97"	"22.28"	"Epigastric upset"	"嘈杂"			"It refers to sensation of emptiness in the stomach that is similar to hunger but is not hunger, similar to pain but is not pain, similar to heartburn but is not heartburn. It is something like gastric anguish and seems inexpressible. It is usually caused by improper diet, stomach cold, stomach heat, deficieny of yin blood or disharmony of the liver and stomach. It can be seen in diseases of stomach and esophagus, or gallbladder distention, pancreas distention, etc."	"自觉胃中空虚，似饥非饥，似痛非痛，似辣非辣，脘部懊恼，莫可名状的一种症状。多因伤食、胃寒、胃热、阴血亏虚及肝胃不和等所致。胃及食管的病变，胆胀、胰胀等病常可见嘈杂。"		
"IST WPRO"	"2.3.103"	"epistaxis"	"衄血"			"non-traumatic external bleeding, including bleeding from the ear, nose, gum, and tongue, and subcutaneous hemorrhage"			
"GB97"	"22.14"	"Epistaxis"	"鼻衄"			"It refers to hemorrhage from the nose. It is caused by nasal disease or traumatic injury, or upper attack of fire and heat in the lung, stomach and liver meridians, or failure of the spleen in controlling blood due to deficiency. In addition, other diseases may also cause nasal bleeding as well, such as measles, erysipelas, scarlet fever, influenza, wind dizziness, aplastic anemia, blood extravasation, tympanites and kidney syncope."	"鼻中出血的症状。因鼻部疾患或外伤，肺、胃、肝经火热上扰，脾虚不能统血等所致。其他疾病如麻疹、丹毒、烂喉丹痧、时行感冒、风眩、髓劳、血溢病、鼓胀、肾厥等，皆可导致鼻衄。"		
"GB97"	"22.48"	"Eruption"	"出疹"			"It refers to elevated red or red and white papula on the skin, usually caused by invasion of wind heat, wind dampness and pestilence that accumulate in the skin. It is commonly seen in diseases such as rebulla, measles, acute infantile rash, and skin diseases like damp sore, medicinal toxin, sudamen, scabies, premenstrual urticaria, rebulla during pregnancy, as well as various warm diseases like scarlet fever."	"皮肤出现高出肤面的红色或红白色疹点的症状。多因风热、风湿、疫毒等邪外侵，蕴郁肌肤所致。常见于风疹、麻疹、奶麻，皮肤疾病如湿疮、药毒、痱癗、疥疮、风土疮、血风疮、血疳疮、经前隐疹、妊娠风疹等，以及烂喉丹痧等多种外感温热病中。"		
"IST WPRO"	"2.1.99"	"exfoliated fur"	"類剝苔"			"peeling of the tongue coating leaving an unsmooth tongue surface as if covered with regeneration of coating granules"			
"IST WPRO"	"2.3.36"	"expiry sweating"	"絶汗"			"incessant profuse sweating of a patient in moribund state"			
"IST WPRO"	"2.3.107"	"eye pain"	"目痛"			"pain of the eye"			
"IST WPRO"	"2.1.8"	"fainting"	"昏厥"			"sudden loss of consciousness, usually of short duration, sometimes accompanied by cold limbs, also called syncope"			
"IST WPRO"	"2.1.6"	"false vitality"	"假神"			"transient increase in spirit in a critical case, often indicating approaching death "			
"IST WPRO"	"2.3.5"	"fear of cold"	"畏寒"			"sensation of cold which can be relieved by warmth, the same as intolerance of cold"			
"IST WPRO"	"2.3.190"	"fecal incontinence"	"大便滑脫"			"inability to control defecation, with involuntary passage of feces"			
"IST WPRO"	"2.2.24"	"fecal qi"	"矢氣"			"gas expelled from the anus, the same as flatus"			
"IST WPRO"	"2.2.27"	"fetid mouth odor"	"口臭"			"bad smell from the mouth, the same as halitosis"			
"IST WPRO and GB 97"	"2.3.3 and 22.1"	"Fever"	"发热"			"elevation of the body temperature above the normal or subjective feeling of feverishness"	"以体温升高，或自觉发热为主的症状。"		
"IST WPRO"	"2.3.10"	"fever without chills"	"但熱不寒"			"elevation of the body temperature with no feeling of cold"			
"IST WPRO"	"2.3.18"	"fever worsening at night"	"身熱夜甚"			"fever more marked at night than at daytime "			
"IST WPRO"	"2.3.177"	"fifth-watch diarrhea"	"五更泄"			"diarrhea occurring daily at dawn, usually due to kidney yang deficiency, the same as early morning diarrhea"			
"IST WPRO"	"2.1.63"	"fissured tongue"	"裂紋舌"			"a tongue with fissures on its surface"			
"IST WPRO"	"2.3.87"	"fixed pain"	"固定痛"			"a pain that is fixed in location"			
"IST WPRO"	"2.3.143"	"flusteredness"	"心慌"			"a nervous agitated state often with palpitations "			
"IST WPRO"	"2.1.78"	"form of the tongue"	"舌形"			"referring to the shape, luxuriance and witheredness, toughness and softness, thinness and swelling, spots, fissures, and dental indentations"			
"IST WPRO"	"2.3.195"	"frequent urination"	"小便頻數"			"increased frequency of urination"			
"IST WPRO"	"2.3.151"	"fullness below the heart"	"心下滿"			"a feeling of fullness in the epigastric region, the same as epigastric fullness"			
"IST WPRO"	"2.3.157"	"fullness in the chest and hypochondrium"	"胸脇滿; 胸脅苦滿"			"a bloated feeling in the chest and hypochondriac region"			
"IST WPRO"	"2.3.180"	"fulminant diarrhea"	"暴瀉"			"a pathological change characterized by sudden onset of diarrhea with profuse discharge"			
"GB97"	"22.29"	"Gastric stuffiness"	"脘痞"			"It refers to fullness, distention and discomfort in the epigastric part. It can be caused by stagnation of liver and stomach qi, or deficiency of spleen and stomach qi with dysfunction in transportation. It can be seen in chronic diseases involving the stomach, liver, gallbladder, pancreas and spleen."	"胃脘部饱胀，满闷不舒的症状。可因肝胃气机阻滞，或脾胃气虚而运化失健所致。常见于胃及肝、胆、胰、脾的慢性病变之中。"		
"IST WPRO"	"2.3.97"	"generalized itching"	"身癢"			"itching all over the body"			
"IST WPRO"	"2.3.56"	"generalized pain"	"身痛"			"pain involving the whole body, the same as general body ache"			
"IST WPRO"	"2.3.71"	"genital pain"	"陰器痛"			"pain in the genitals"			
"IST WPRO"	"2.3.43"	"genital sweating"	"陰汗"			"localized sweating in the genital region"			
"IST WPRO"	"2.1.66"	"geographical tongue"	"地圖舌"			"a tongue with irregular shedding of the coating and distinct demarcation between the shed and unshed areas, looking like a map"			
"GB97"	"22.16"	"Gingival hemorrhage"	"齿衄"			"It refers to blood oozing from between the teeth or gum. It is usually caused by accumulation of heat in the stomach meridian, yin deficiency with exuberant fire, or failure of blood running inside the vessel due to deficiency of heart and spleen. It is commonly seen in gingival atrophy or purpura, aplastic anemia, hypochondriac mass due to liver disorder, blood extravasation and epidemic hemorrhagic fever."	"血液自牙缝或牙龈渗出的症状。多因胃经积热，阴虚火旺，或心脾两虚，血不循经所致。常见于牙宣及紫癜病、髓劳、肥气、血溢病、疫斑热等疾病中。"		
"IST WPRO"	"2.1.22"	"governing complexion"	"主色"			"normal natural color of the skin "			
"IST WPRO"	"2.1.86"	"gray fur"	"灰苔"			"tongue coating gray in color with similar clinical significance as black fur"			
"IST WPRO"	"2.3.49"	"great dripping sweat"	"大汗淋漓"			"abnormal profuse sweat with continuous dripping"			
"IST WPRO"	"2.1.87"	"greenish fur"	"綠苔"			"tongue coating green in color"			
"IST WPRO"	"2.3.77"	"gripping pain"	"絞痛"			"an acute pain in the chest or abdomen, often caused by spasm, obstruction or twisting, also called spasm and pain"			
"IST WPRO"	"2.3.47"	"half-body absence of sweating"	"半身無汗"			"no sweating on the upper or lower, right or left half of the body "			
"IST WPRO"	"2.3.46"	"half-body sweating"	"半身汗出"			"sweating only on the upper or lower, right or left half of the body "			
"JSOM"		"hangaihanri"		"半外半裏"		"half-out and half-in conformation"			
"IST WPRO"	"2.3.188"	"hard bound stool"	"大便硬結"			"hardened feces difficult to evacuate"			
"IST WPRO"	"2.3.154"	"hardness and fullness"	"鞕滿; 硬滿"			"feeling hard to touch with a subjective feeling of fullness"			
"IST WPRO and GB 97"	"2.3.57 AND 22.5"	"headache"	"头痛"			"pain in the head"	"患者自觉头部疼痛的症状。"		
"IST WPRO"	"2.3.59"	"headache and painful stiff nape"	"頭項强痛"			"headache accompanied by rigidity and pain of the nape"			
"GB97"	"22.23"	"Heart pain"	"心痛"			"It refers to pain in the area where Danzhong (CV17) is located and left side of the chest, pertaining to the category of chest pain. It is usually caused by interior blockage of stagnant blood and phlegm turbidity, cold coagulation due to yang deficiency, or deficiency of yin blood. It can be seen in heart system diseases, such as chest impediment, heart pain, precordial pain, heart impediment, heart heat syndrome, thoracic retention of fluids, etc."	"膻中部位以及左胸内疼痛的症状。心痛可归属于广义的胸痛范畴。多因痰浊瘀血内阻，阳虚寒凝，或阴血亏虚等所致。心痛常见于心系疾病，如胸痹心痛、厥心痛、心痹、心瘅、支饮等。"		
"IST WPRO"	"2.3.25"	"heat in the palms and soles"	"手足心熱"			"subjective feverish feeling in the palms and soles "			
"IST WPRO"	"2.3.23"	"heat vexation"	"煩熱"			"fever accompanied by uneasiness or restlessness, also known as irritable heat sensation"			
"IST WPRO"	"2.3.96"	"heavy body"	"身重"			"the subjective heaviness sensation of the body with difficult movement"			
"IST WPRO"	"2.3.95"	"heavy head and light feet"	"頭重脚輕"			"the subjective sensation whereby head is heavier than feet, accompanied by unsteady gait"			
"IST WPRO"	"2.3.78"	"heavy pain"	"重痛"			"a pain accompanied by heaviness sensation"			
"IST WPRO"	"2.3.60"	"heavy-headedness"	"頭重"			"feeling of heaviness in the head"			
"IST WPRO"	"2.3.72"	"heel pain"	"足跟痛"			"pain in either or both heels, worsened by standing and walking"			
"JSOM"		"heimyaku"		"平脈"		"normal pulse"			
"GB97"	"22.41"	"Hematuria"	"尿血"			"It refers to blood discharged in urine, usually caused by downward flow of dampness heat, exuberance of fire due to yin deficiency, kidney impairment due to pestilence or drug toxin. It can be seen in stony stranguria, heat stranguria, stranguria during pregnancy, acute pyelonephritis, kidney tuberculosis, tumor or cancer of kidney and bladder, blood disease or infectious diseases."	"血随小便排出的症状。常因湿热下注、阴虚火旺、疫毒或药毒伤肾等所致。石淋、热淋、子淋、肾瘅、肾痨，肾及膀胱的癌瘤，某些血液病变、传染病等常可见尿血。"		
"IST WPRO and GB 97"	"2.3.102 AND 22.2"	"hemoptysis"	"喀血; 咳血"			"the expectoration of blood or blood-stained sputum"	"血来自肺或气管，血随咳嗽而出的症状。"		
"IST WPRO"	"2.3.12"	"high fever"	"壯熱"			"persistent high fever with aversion to heat but no chills"			
"IST WPRO and GB 97"	"2.3.65 and 22.30"	"Hypochondriac pain"	"胁痛"			"It refers to pain on the one or both sides of the hypochondrium, pertaining to the category of chest pain in a broad sense. "	"自觉一侧或两侧胁部疼痛的症状。"		
"IST WPRO"	"2.3.201"	"impotence"	"陽痿"			"lack of copulative power in the male"			
